id	filename	md5	size	state
1a7ab72c-ccbe-4ffe-b43d-d8570cb62c0b	2eb058b5-5b46-4568-b362-e7e2332babda.FPKM.txt.gz	4512ea062730f3ec39f3cbb8266018cc	481521	released
93f446f2-dbc0-4fa4-8468-f5ecc10a5115	a39253da-8dc4-46c2-bd29-491a61ea4471.FPKM.txt.gz	2fbde34284b29f8ef85d6d448d2a0f11	500385	released
b47ba76c-1b0b-45a7-bf6f-f14865c136bd	94eaf79f-14e8-421a-ba4f-e2f1fbae2592.FPKM.txt.gz	52b0db82bbeee892f3e0358698f7a7a2	488221	released
d351246c-5225-4e1b-b34f-7ede39ce3b4b	0c3d283b-1ef5-459e-b312-c97ea0b6d793.FPKM.txt.gz	fa049f5c08c7889e358112a35cf042a2	488816	released
8f2661ad-f4ff-4c68-8750-536966270a05	d65a7cb6-4b1f-4976-990e-c4f47ae11986.FPKM.txt.gz	d560356a5a19f0ebd2d996a3a4194792	521962	released
59cd6317-40f2-4fb8-ada9-89b14bb2d5cb	32a115cf-570f-4ad9-a123-8e1970062f51.FPKM.txt.gz	581ba239aadf2122912e4c95c8023776	527510	released
85237fff-b839-41f3-a023-964226b9fa1f	066a17b9-c724-4390-9a5f-d46cde556de3.FPKM.txt.gz	8c46f34551558b6ce4903830cc939dc2	503628	released
5cc4d0f8-d8c8-406c-a609-bfbfe363821f	d265829a-9e49-4e21-ba72-67f5ba406204.FPKM.txt.gz	05906dd19e6b3b1b2f25bbb2e64c0d6a	430511	released
9ffa7199-25aa-4a53-916f-8413437a1277	773c7ef0-9536-455e-a3bb-3bc8d835af01.FPKM.txt.gz	64b782bf11a440237eb7bc8361342bd6	495340	released
4d4f923e-d215-4424-af59-ae245af0e0b1	e4e7ec56-30aa-48d4-aef4-7e88f408a2f8.FPKM.txt.gz	3dd8c63cad64804de978080173265bf8	481936	released
ef23b74f-a6b6-4db2-ba7c-1d0654954fea	02ddfa3d-13b3-4624-994d-62e740fa4a3d.FPKM.txt.gz	3abebb143d93ca4a3dc85bc7966f3f12	500229	released
9e2fe29a-36b0-4ec8-a0b8-7b445de27c08	d5c8759b-0dc1-4057-b9df-c9aa4a6b2a04.FPKM.txt.gz	170fa43e6f282caa3bd3744338e88e62	508991	released
7e2a5bb7-93e6-4ef5-b1cb-b7685100810b	464cbc87-fa59-4fc9-8617-b697f3f29b02.FPKM.txt.gz	a945eeb3578e300691eb50543bbea255	511863	released
8339376d-33ea-42d5-8457-2624947e8741	667dfd86-8611-411a-89ce-1de8b6089a20.FPKM.txt.gz	3119b88e49e9df4fdcff2f80c9b37d31	464623	released
7307bf95-13d1-49de-9080-026d61a79505	b1a7e378-a07b-4434-8a5d-d4756b7d523c.FPKM.txt.gz	826fba230ccee58574c2ef97722f6f6a	586026	released
2242861d-29f6-4c85-be2d-938eab19e760	2d5fbcf8-4347-4787-b04d-e84c88316776.FPKM.txt.gz	ab158b5dc9c22bedbb62dff2c2884bfe	507621	released
791424fa-78f1-42c1-af61-c3a9409e7aac	17510ea6-0c97-4bd0-94a4-63dd76e5b7c7.FPKM.txt.gz	b43adfb0a30a1c510e53ce96650e4197	473616	released
8e65f732-13db-4aa2-8e1d-807ee32785f1	81bd146a-4ba1-4c7f-8cda-f4b11b0f390c.FPKM.txt.gz	8625232b08d884928f3d0312c164e9e9	471170	released
96daf4d3-eeb8-4fc2-9f60-0f91bd2ea5b2	8e881aba-eee8-456e-a677-25eadadcdcad.FPKM.txt.gz	5fcf586248cb1fa5eecbc7f7211b15d5	480311	released
51fc2a94-2bb5-4295-b27e-74b79d8bad5a	4f89b1c6-b0a3-4739-a77c-2458e6d45351.FPKM.txt.gz	0e5e828c584124e3e154870acf876cc8	515855	released
45a2c27a-af73-4203-aa89-c790b99aff4d	ba11a188-132a-4a25-b2b7-f958694976e8.FPKM.txt.gz	3aab5135ac7727f64abab2aa458569bb	501219	released
6e372a16-5eeb-4a1d-8cd4-1f541f2bdbe0	f346f2d2-285c-455c-ba34-ea8eec3fa881.FPKM.txt.gz	7eb735389432f6055b317bfdc7181681	495021	released
e4d573c5-5376-4cad-96a0-c8619c1cd758	37d2cb9b-0286-43a5-9538-26a8f0818ee7.FPKM.txt.gz	d647c7daa1ee6d370ea9fe948cad324a	471984	released
0514d140-b02b-49d8-8ede-0ec4c8af4c6e	2f6070c7-99d0-49bb-83ca-33c032650cde.FPKM.txt.gz	4efe808cf161b53acb63915e51d53e65	501242	released
41fe6678-261c-4c09-843a-0d4b307fab8e	3c6178fe-0add-4c72-96b2-a3aeda20f36d.FPKM.txt.gz	d70edf3a113f4930615634602810442c	487357	released
0de366cd-8421-4de9-bc4a-00e0de8cbb04	058cd2dd-6bea-4188-8bb2-3314723c0762.FPKM.txt.gz	f1c8d9f086b8553eb6e7bb7af2ac2435	493796	released
12431179-c41f-412c-a605-1cda7fa57be4	e0d6a42a-2efb-4b3f-9b59-da07dadc01a4.FPKM.txt.gz	ff21e84c55a4fc30ccc1337368e9b779	505729	released
f6962d43-512d-499d-8c4c-4101a7195d8a	9c52ed00-325f-4664-8873-327bcaa5ea74.FPKM.txt.gz	27bfc61a3a1ec4c341b3a3a2dd58c15e	481863	released
d4f77b00-6d5c-4ae4-9b52-9a9a6971be99	bbb89e05-7c84-4905-9a05-8315c16d26b8.FPKM.txt.gz	c1011230a576c1764f14e04aa1beb215	486861	released
1d7986eb-5af3-4692-b4c7-fc60eb417384	f8b2b799-dd9d-467e-9525-a01f3f62847a.FPKM.txt.gz	8950d775e158c62d2ca8bc1f5a5df832	505064	released
7eb1ad7f-1643-46d4-af34-d5c1c337d1ca	61d0e01a-3e40-4929-80c8-36f797c6771f.FPKM.txt.gz	1e1865ade7bb206ac1e83ce782917c2b	492431	released
1bbaa612-f7e6-48e0-be40-34a3606af6ad	25a62766-c783-415a-96bf-dafc8f109510.FPKM.txt.gz	1b01392dfcc741c4c6928c70bcf06aa9	516889	released
55e4abac-0d8e-4374-bfc7-3ef935767a76	3f59c9f4-10e4-4410-9515-9488181f54fc.FPKM.txt.gz	c983225cbba508205c35c84d4baf4142	471721	released
eac0fb62-952e-491c-96ce-1b425b57e51d	09796233-3f40-4deb-b77d-2267c3afff59.FPKM.txt.gz	53c26995a5034fcf171039579962ed2e	512278	released
7a4fb2f9-4a29-4607-8e2f-38ec9bdf7672	e5a78b77-957f-44d5-b69b-12abbfbea50c.FPKM.txt.gz	9e896ad08d79fbb62f4398f453264667	546966	released
cc7cf3f9-f208-4755-8eb4-595bf2ae2374	d2587070-cb7d-440d-ae49-52f5077248e6.FPKM.txt.gz	92dbd7fe02f4fb6b55a40be3f0bf4164	525144	released
d7c59b09-cd30-4085-a286-567a4e5242fa	92bd3edc-d6f3-4cfc-be03-4662199a06c2.FPKM.txt.gz	87387a46d94e8a2b7bf11c873a78d404	490002	released
