id	filename	md5	size	state
0f4813e3-b564-424a-b825-8751a90530ea	b62e353e-4ebe-4e0c-a7e7-877bf32fc36d.FPKM-UQ.txt.gz	dc1d7918c7fb2338b660c9dc128afd94	512256	released
ce3f1ea6-f4bf-499d-bb99-340db39eea92	3793cde5-8027-46ad-9003-6a9a43076764.FPKM-UQ.txt.gz	024a8c1a218e85852c93fae591456722	502745	released
c460cacc-65e0-4ddb-90a6-e8c714e70d14	52e5f11b-9a73-4535-9e4d-720fe8feca0a.FPKM-UQ.txt.gz	05479d4b07bc97454d3e2f8394d93366	520079	released
18f4521f-34a6-4ccf-8bbe-3e5ff767a3e8	ace439dd-127d-4f64-8028-506fd5ea03de.FPKM-UQ.txt.gz	9a9749843b4036ee6b92cc85e7934748	516363	released
832a3d02-b863-43db-a849-5ff8f9df606d	0eb3094b-b498-4f54-8772-f322d7057da2.FPKM-UQ.txt.gz	57617d09171ff32458abaf113671f541	505681	released
8f937f81-fc0f-4b3f-9b61-fd957e5c6bcc	dd9a3ab6-6c93-4b47-9b4e-62e56767054b.FPKM-UQ.txt.gz	80fc063eac92a8604265c90a0e546f58	526079	released
d7bf92a0-2a08-4b02-b696-54e7bb1695c4	a42c7fc3-4f41-4b15-b1ec-2108fa916f6a.FPKM-UQ.txt.gz	932c46aabae09fefa749914899ffb9a5	528308	released
9fbe83e5-5b25-42c1-b1d3-35b73e76239d	938e4a22-7ed8-4b09-aa65-0cd737beee31.FPKM-UQ.txt.gz	bf99fb6fc4bd456f57d39aa586a8bb77	518659	released
8371d79f-6736-4ec6-ad43-130a252ec85c	e4b288d5-b877-42fb-a525-8ed6424338db.FPKM-UQ.txt.gz	90cb9db47c17e2e8d0550a21f2545074	518426	released
2eb3c5bd-e9fe-4c77-a5f4-4e4522840cf7	de808f1a-676c-4bda-afcb-bf61577324f7.FPKM-UQ.txt.gz	fcdd57a270e9cd5e092f193810de0366	518008	released
