id	filename	md5	size	state
65dd1d61-784d-41be-9cd8-c2ef336a912b	9bfbcb02-c4b7-4252-abd7-d9c297a8472d.FPKM-UQ.txt.gz	9f3ff187af1c81a5f77dc43d822454ce	387436	released
fcc25a6b-8979-4dab-b1fe-7583c48e85ce	e7dae279-8efe-42a2-936f-e31d400913a2.FPKM-UQ.txt.gz	7dd1045308eceb859b46376cbf930622	378961	released
4d8f2b9c-d3ab-4b38-b2f0-e43783b26f16	d1ae3435-745a-4bbf-8721-8323f4cbfd1b.FPKM-UQ.txt.gz	d58b1a834055d370b88f77d1f68e3fc9	383796	released
68df8f8b-6262-40af-afa2-868df4261bea	818f4152-072c-4d50-9a92-9995af93f8d4.FPKM-UQ.txt.gz	6beb9db5e778d448671e9b869dab6163	380742	released
cb96a83f-c195-4b29-b689-66320ae21fdf	8f4ba3f8-bde8-4f9b-924b-2cfcd45c8945.FPKM-UQ.txt.gz	452ee55ff135ec5f4c59e421d26d84ab	384636	released
7dd8e902-f557-4e62-a2ae-fa4daf22a76b	d2f6a0b5-358f-4734-9d35-907dd8bddf70.FPKM-UQ.txt.gz	129d367f766da6ee5c7682319238a196	377395	released
28e2f1ef-f540-4683-af9a-9d2106b33f91	eebd4e0d-18d9-4a70-b836-3458aab71280.FPKM-UQ.txt.gz	7c164a29080c94dad20e069148f14e6e	378094	released
563c0c7f-5839-4e36-a3ef-ec1406e42b85	004646c2-19ce-4e0a-b891-1569aba9adf3.FPKM-UQ.txt.gz	3beff348d9f2ff04c1bd16691250b00c	371647	released
4a602ea0-b03e-495b-9c84-51ff8f6b3d2f	d4e6135c-c14a-4656-b312-cc6ca4e920d3.FPKM-UQ.txt.gz	a28f4fd91bfc278db0ddc903ed05823f	383600	released
fe30a282-a3e0-41f4-9188-86a643c24110	2b2dc797-692a-47e5-90ec-eb6801c0c02e.FPKM-UQ.txt.gz	652e7737bd6151eb881bb098d7b2e286	374408	released
3c618984-c6cc-4341-be00-6f09b568993c	26cd3531-726b-4346-a2e0-5ef7079a856d.FPKM-UQ.txt.gz	860d7b0e0ff1308d4b37270213708fd6	376121	released
817aa490-cef8-4eaa-aa31-8771cbdd8c7a	e8ffcc3f-a7cc-474c-bef5-a96dce97b2fd.FPKM-UQ.txt.gz	e71fd79ab424fabcd125e0b05127cc6b	367966	released
353d6202-07cb-4771-9af1-dc23448a2394	70a3d088-8137-4e02-a4b4-ee50b931b6ca.FPKM-UQ.txt.gz	8c72d2e05c9614fc4781c868f41d2b78	389089	released
365577aa-c80d-471a-ae47-e17af11f12cb	f1d5eb2f-232d-4ae5-963d-882f687777f7.FPKM-UQ.txt.gz	a83d8ead68a9dcbf2df1f11c0c2f9913	383665	released
a98c6dd8-b842-4c62-a494-4302fd79959f	3992a075-6332-4474-8caf-69b7db7368ef.FPKM-UQ.txt.gz	e2e975aa160bc389351e912184492794	376151	released
75285751-0259-422c-a907-a9378e776fa5	e8ce738f-b297-46bb-bbb6-6012d26d61c9.FPKM-UQ.txt.gz	23461278e2b5d878a10f95594df38c4f	376299	released
6ddc5b31-3688-499d-bdca-3c7dab553819	df20b500-c291-4fcb-b8ac-fde4d5829f27.FPKM-UQ.txt.gz	458565bc2c358e75ead98dad80643c1a	381044	released
5f1f1cb6-f06d-4dea-a1c4-a531b8a33554	0eeb5fa0-333a-43fc-bb39-cf1ec59ddfdd.FPKM-UQ.txt.gz	202cf7953b490eb00ed3cf3d934283b2	387593	released
957d5a2f-da86-4dbc-b6b9-1512232e93ea	080c532c-19f4-4738-a3b1-391fc91df59a.FPKM-UQ.txt.gz	f503542ee2a1d9466cc0f5fba4651b50	380006	released
41926bee-48b5-4acb-9fbe-5c6562db4772	6983df41-aae4-4763-8f1a-d834ce6b4fdb.FPKM-UQ.txt.gz	3e3bec4aa52538b63f64007ce671fd23	378131	released
